uncertaincheck,casrn,name,average_mass,endpoint,new_rfc,source,subsource,type,duration,species,dxw,daf,pod_hec,interspecies,intraspecies,subtochronic,loaectonoaec,allufs,toxval_numeric,toxval_units,value_ppb,toxicological_effect,study_type,source_url,subsource_url,entry_modified_br,additional_notes_br,long_ref,
,106-46-7,"1,4-Dichlorobenzene",147,hepatic,133,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,1,mg/m3,133,Increased liver weights in male/female rats,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=552,,DAF = 1 based on NOAEC and study from 1986 (1994) https://iris.epa.gov/static/pdfs/0552_summary.pdf,.,
,106-46-7,"1,4-Dichlorobenzene",147,neurological,133,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,1,mg/m3,133,Nervous and respiratory; alimentary systems (liver); kidney,,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/14-dichlorobenzene,,,,
,106-46-7,"1,4-Dichlorobenzene",147,ocular,28,ATSDR Tox Profile,Tyl and Neeper-Bradley 1989,NOAEC,subchronic,ratmouse,0,0,8440,3,10,10,1,300,,.,211000,.,.,.,.,,.,.,
,106-46-7,"1,4-Dichlorobenzene",147,renal,71,Health Canada,"Loeser and Litchfield, 1983",NOAEC,chronic,rat,0,0,2138,3,10,1,1,30,450,mg/m3,74847,"increased liver and kidney weight, urinary protein, and coproporphyrin",chronic,https://publications.gc.ca/site/eng/9.694269/publication.html,.,1,.,.,
,106-46-7,"1,4-Dichlorobenzene",147,respiratory,10,ATSDR,ATSDR MRLs 2025,MRL,chronic,human,,,,,,,,,0,ppm,10,,,,,,"Final, DAF= 0.16 derived using BMCL from Aiso et al 2005 (use this DAF more recent) https://www.atsdr.cdc.gov/ToxProfiles/tp10.pdf",,
,106-46-7,"1,4-Dichlorobenzene",147,systemic,17,HEAST,.,NOAEC,chronic,ratmouse,0,0,499,3,10,1,1,30,,.,12475,.,.,.,.,,.,.,
,106-93-4,"1,2-Dibromoethane",188,developmental,1,ECHA IUCLID,Developmental Toxicity Teratogenicity,LOAEC,.,ratmouse,0,1,3571,3,10,10,10,3000,,.,20000,.,.,.,.,,.,.,
,106-93-4,"1,2-Dibromoethane",188,endocrine,3,Health Canada,"U.S. EPA, 2004 (based on NTP, 1982)",BMCL,chronic,mouse,0,1,91,3,10,1,1,30,3,mg/m3,364,"nasal inflammation, hepatic necrosis, testicular and retinal atrophy, adrenal cortical degeneration, splenic hematopoiesis",chronic,https://publications.gc.ca/site/eng/9.694269/publication.html,.,,.,.,
,106-93-4,"1,2-Dibromoethane",188,hepatic,3,Health Canada,"U.S. EPA, 2004 (based on NTP, 1982)",BMCL,chronic,mouse,0,1,91,3,10,1,1,30,3,mg/m3,364,"nasal inflammation, hepatic necrosis, testicular and retinal atrophy, adrenal cortical degeneration, splenic hematopoiesis",chronic,https://publications.gc.ca/site/eng/9.694269/publication.html,.,,.,.,
,106-93-4,"1,2-Dibromoethane",188,immunological,3,Health Canada,"U.S. EPA, 2004 (based on NTP, 1982)",BMCL,chronic,mouse,0,1,91,3,10,1,1,30,3,mg/m3,364,"nasal inflammation, hepatic necrosis, testicular and retinal atrophy, adrenal cortical degeneration, splenic hematopoiesis",chronic,https://publications.gc.ca/site/eng/9.694269/publication.html,.,,.,.,
