uncertaincheck,casrn,name,average_mass,endpoint,new_rfc,source,subsource,type,duration,species,dxw,daf,pod_hec,interspecies,intraspecies,subtochronic,loaectonoaec,allufs,toxval_numeric,toxval_units,value_ppb,toxicological_effect,study_type,source_url,subsource_url,entry_modified_br,additional_notes_br,long_ref,
,110-54-3,n-hexane,86,respiratory,400,ATSDR,ATSDR MRLs 2025,MRL,subchronic,human,,,,,,,,,0,ppm,400,,,,,,Final,,
,110-54-3,n-hexane,86,systemic,368,ATSDR Tox Profile,Bio/Dynamics 1978,NOAEC,subchronic,rodent,1,1,110250,3,10,10,1,300,,.,126000,.,.,.,.,,.,.,
,110-82-7,Cyclohexane,84,developmental,1743,IRIS,DuPont HLR 1997a,RfC,chronic,rodent,,,,,10,,,,6,mg/m3,1743,Reduced pup weights in male/female rats,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1005,,.,.,
,110-82-7,Cyclohexane,84,neurological,298,ECHA IUCLID,Neurotoxicity,NOAEC,.,rat,0,1,89286,3,10,10,1,300,1721,mg/m3,500002,Neurotoxicity,repeat dose other,https://echa.europa.eu/,https://echa.europa.eu/en/registration-dossier/-/registered-dossier/30824?documentUUID=4a75e0a9-3559-4d15-b883-910549903226,1,.,.,
,111-65-9,n-octane,114,reproductive,404,CompTox,ECHA IUCLID,LOAEC,.,rodent,0,1,1210862,3,10,10,10,3000,,.,6780846,.,.,.,.,,.,.,
1,115-07-1,1-Propene,42,immunological,8333,EPA HPVIS,HPVIS Mammalian Repeat Dose,LOAEC,chronic,rat,0,1,2500008,3,10,1,10,300,17211,mg/m3,10000033,"nasal cavity toxicity/increased incidences of nonneoplastic lesions in nasal cavity/epithelial hyperplasia/squamous metaplasia/inflammatory changes: influx of lymphocytes, macrophages, and granulocytes into the submucosa and by granulocytes into the lumen",chronic,.,.,1,from Quest et al ref,"Quest et al. (1984). Toxicol Appl Pharmacol 76, 288-295. https://doi.org/10.1016/0041-008X(84)90010-3",
,115-07-1,1-Propene,42,respiratory,1742,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,3,mg/m3,1742,Respiratory system,,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/propylene,,,,
,120-82-1,"1,2,4-Trichlorobenzene",181,hematological,0,PPRTV (CPHEA),PPRTV Summary,RfCp,chronic,rat,,,,,10,,,,0,mg/m3,0,coproporphyrin and uroporphyrin excretion,subchronic,https://www.epa.gov/pprtv/basic-information-about-provisional-peer-reviewed-toxicity-values-pprtvs,https://cfpub.epa.gov/ncea/pprtv/chemicalLanding.cfm?pprtv_sub_id=1930,,DAF=1 https://cfpub.epa.gov/ncea/pprtv/documents/Trichlorobenzene124.pdf,.,
,120-82-1,"1,2,4-Trichlorobenzene",181,hepatic,21,"Health Canada, ATSDR Tox Profile (added ref from oldmetdb)",Kociba et al. 1981,NOAEC,subchronic,rat,0,1,6260,3,10,10,1,300,223,mg/m3,30050,increased liver weight and relative kidney weight,subchronic,https://publications.gc.ca/site/eng/9.694269/publication.html,.,1,.,.,
,120-82-1,"1,2,4-Trichlorobenzene",181,renal,0,PPRTV (CPHEA),PPRTV Summary,RfCp,chronic,rat,,,,,10,,,,0,mg/m3,0,coproporphyrin and uroporphyrin excretion,subchronic,https://www.epa.gov/pprtv/basic-information-about-provisional-peer-reviewed-toxicity-values-pprtvs,https://cfpub.epa.gov/ncea/pprtv/chemicalLanding.cfm?pprtv_sub_id=1930,,.,.,
,123-91-1,"1,4-Dioxane",88,cardiovascular,833,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,3,mg/m3,833,Alimentary system; kidney; cardiovascular system,,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/14-dioxane,,,,
,123-91-1,"1,4-Dioxane",88,hematological,1488,ATSDR Tox Profile,Kasai et al. 2009,NOAEC,chronic,ratmouse,0,1,44643,3,10,1,1,30,,.,250000,.,.,.,.,,.,.,
,123-91-1,"1,4-Dioxane",88,hepatic,833,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,3,mg/m3,833,Alimentary system; kidney; cardiovascular system,,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/14-dioxane,,,,
,123-91-1,"1,4-Dioxane",88,neurological,8,IRIS,Kasai et al. 2009,RfC,chronic,ratmouse,,,,,10,,,,,.,8,.,.,.,.,,.,.,
,123-91-1,"1,4-Dioxane",88,renal,298,ATSDR Tox Profile,Kasai et al. 2009,NOAEC,chronic,ratmouse,0,1,8929,3,10,1,1,30,,.,50000,.,.,.,.,,.,.,
,123-91-1,"1,4-Dioxane",88,respiratory,8,IRIS,Kasai et al. 2009,RfC,chronic,rodent,,,,,10,,,,0,mg/m3,8,Atrophy and respiratory metaplasia of the olfactory epithelium in male rats,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=326,,.,.,
1,124-48-1,Chlorodibromomethane,208,hepatic,1,Structural Analog,75-27-4 (bromodichloromethane),LOAEC,subchronic,mouse,0,1,1966,3,10,10,10,3000,67,mg/m3,7865,"see 75-27-4 (bromodichloromethane), similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
1,124-48-1,Chlorodibromomethane,208,renal,2,Structural Analog,75-27-4 (bromodichloromethane),RfCp,subchronic,mouse,,,,,10,,,,0,mg/m3,2,"see 75-27-4 (bromodichloromethane), similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
,126-99-8,Chloroprene,89,developmental,15,ECHA IUCLID,Developmental Toxicity Teratogenicity,NOAEC,.,rat,0,1,4464,3,10,10,1,300,91,mg/m3,25000,developmental,developmental,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/15226/7/9/3?documentUUID=0600d1d3-1da0-4ed5-9d83-e4cc341301b8,1,.,.,
,126-99-8,Chloroprene,89,immunological,6,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,0,mg/m3,6,"Increase in incidence of olfactory atrophy, alveolar hyperplasia, and splenic hematopoietic proliferation, female F344/N rats, and female B6C3F1 mice, respectively in male/female mice/rats",Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1021,,DAF=1 https://iris.epa.gov/static/pdfs/1021tr.pdf,.,
,126-99-8,Chloroprene,89,neurological,6,IRIS,.,RfC,chronic,human,,,,,,,,,,.,6,.,.,.,.,,.,.,
,126-99-8,Chloroprene,89,reproductive,15,ECHA IUCLID,Toxicity Reproduction,NOAEC,.,rat,0,1,4466,3,10,10,1,300,91,mg/m3,25009,reproduction developmental,reproduction developmental,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/15226/7/9/2?documentUUID=0600d1d3-1da0-4ed5-9d83-e4cc341301b8,1,.,.,
,126-99-8,Chloroprene,89,respiratory,6,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,0,mg/m3,6,"Increase in incidence of olfactory atrophy, alveolar hyperplasia, and splenic hematopoietic proliferation, female F344/N rats, and female B6C3F1 mice, respectively in male/female mice/rats",Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1021,,.,.,
,127-18-4,Tetrachloroethylene,166,developmental,149,ECHA IUCLID,Developmental Toxicity Teratogenicity,NOAEC,.,rat,0,1,44643,3,10,10,1,300,1696,mg/m3,250001,fetus: fetal/pup body weight changes,developmental,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/14303/7/9/3?documentUUID=4e5f8b6f-0e5f-41d1-89c1-1117b1a2c99d,,.,.,
,127-18-4,Tetrachloroethylene,166,hepatic,5,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,0,mg/m3,5,Kidney; alimentary system (liver),,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/tetrachloroethylene,,,,
,127-18-4,Tetrachloroethylene,166,neurological,6,IRIS,Echeverria et al. 1995; Cavalleri et al. 1994,RfC,chronic,human,,,,,,,,,0,mg/m3,6,"neurotoxicity (color vision) in occupationally-exposed adults|neurotoxicity (reaction time, cognitive effects) in occupationally-exposed adults",Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=106,,.,.,
,127-18-4,Tetrachloroethylene,166,ocular,6,IRIS,Echeverria et al. 1995; Cavalleri et al. 1994,RfC,chronic,human,,,,,,,,,,.,6,.,.,.,.,,.,.,
,127-18-4,Tetrachloroethylene,166,renal,1,ATSDR Tox Profile,Franchini et al. 1983,LOAEC,chronic,human,,,,1,10,1,10,100,,.,50,.,.,.,.,,.,.,
,127-18-4,Tetrachloroethylene,166,reproductive,60,ECHA IUCLID,Toxicity Reproduction,NOAEC,.,rat,0,1,17857,3,10,10,1,300,678,mg/m3,100001,reproduction developmental,reproduction developmental,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/14303/7/9/2?documentUUID=4e5f8b6f-0e5f-41d1-89c1-1117b1a2c99d,1,.,.,
,127-18-4,Tetrachloroethylene,166,respiratory,60,Health Canada,.,LOAEC,chronic,rat,0,1,17852,3,10,1,10,300,678,mg/m3,99970,"nephrotoxic, hepatotoxic, lung congestion, mononuclear cell leukemia",chronic,https://publications.gc.ca/site/eng/9.694269/publication.html,.,,.,.,
,127-18-4,Tetrachloroethylene,166,systemic,298,ATSDR Tox Profile,JISA 1993,NOAEC,chronic,ratmouse,0,1,8929,3,10,1,1,30,,.,50000,.,.,.,.,,.,.,
,1330-20-7,Xylenes,106,cardiovascular,46,ATSDR Tox Profile,Jenkins et al. 1970,NOAEC,subchronic,ratmouse,0,1,13929,3,10,10,1,300,,.,78000,.,.,.,.,,.,.,
,1330-20-7,Xylenes,106,developmental,528,ECHA IUCLID,Developmental Toxicity Teratogenicity,BMCL,.,rat,0,1,158393,3,10,10,1,300,3852,mg/m3,887003,reproduction developmental,reproduction developmental,https://echa.europa.eu/,https://echa.europa.eu/en/registration-dossier/-/registered-dossier/30824?documentUUID=4a75e0a9-3559-4d15-b883-910549903226,1,.,.,
,1330-20-7,Xylenes,106,gastrointestinal,140,ATSDR Tox Profile,Uchida et al. 1993,LOAEC,chronic,human,,,,1,10,1,10,100,,.,14000,.,.,.,.,,.,.,
,1330-20-7,Xylenes,106,hematological,1400,ATSDR Tox Profile,Uchida et al. 1993,NOAEC,chronic,human,,,,1,10,1,1,10,,.,14000,.,.,.,.,,.,.,
,1330-20-7,Xylenes,106,hepatic,1400,ATSDR Tox Profile,Uchida et al. 1993,NOAEC,chronic,human,,,,1,10,1,1,10,,.,14000,.,.,.,.,,.,.,
,1330-20-7,Xylenes,106,neurological,23,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,0,mg/m3,23,Impaired motor coordination (decreased rotarod performance) in male rats,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=270,,.,.,
,1330-20-7,Xylenes,106,ocular,140,ATSDR Tox Profile,Uchida et al. 1993,LOAEC,chronic,human,,,,1,10,1,10,100,,.,14000,.,.,.,.,,.,.,
,1330-20-7,Xylenes,106,reproductive,3,Health Canada,.,LOAEC,subchronic,rat,0,1,10281,3,10,10,10,3000,250,mg/m3,57574,"maternal effects, fetal retardation, increased proportion of fetal mortality and resorbed fetuses",developmental,https://publications.gc.ca/site/eng/9.694269/publication.html,.,,.,.,
,1330-20-7,Xylenes,106,respiratory,140,ATSDR Tox Profile,Uchida et al. 1993,LOAEC,chronic,human,,,,1,10,1,10,100,,.,14000,.,.,.,.,,.,.,
,1330-20-7,Xylenes,106,systemic,55,ATSDR Tox Profile,Jajte et al. 2003,NOAEC,subchronic,ratmouse,0,1,16429,3,10,10,1,300,,.,92000,.,.,.,.,,.,.,
1,141-93-5,"1,3-Diethylbenzene",134,aural,1639,Structural Analog,100-41-4 (ethylbenzene),RfCp,subchronic,human,,,,,,,,,9,mg/m3,1639,"see 100-41-4 (ethylbenzene), , similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
1,141-93-5,"1,3-Diethylbenzene",134,developmental,182,Structural Analog,100-41-4 (ethylbenzene),RfC,chronic,human,,,,,,,,,1,mg/m3,182,"see 100-41-4 (ethylbenzene), , similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
1,141-93-5,"1,3-Diethylbenzene",134,endocrine,625,Structural Analog,100-41-4 (ethylbenzene),NOAEC,chronic,ratmouse,0,1,18750,3,10,1,1,30,,.,75000,"see 100-41-4 (ethylbenzene), , similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
1,141-93-5,"1,3-Diethylbenzene",134,hepatic,66,Structural Analog,100-41-4 (ethylbenzene),NOAEC,subchronic,rat,0,1,19764,3,10,10,1,300,434,mg/m3,79058,"see 100-41-4 (ethylbenzene), , similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
1,141-93-5,"1,3-Diethylbenzene",134,immunological,55,Structural Analog,100-41-4 (ethylbenzene),NOAEC,subchronic,rat,0,1,16470,3,10,10,1,300,434,mg/m3,79058,"see 100-41-4 (ethylbenzene), , similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
1,141-93-5,"1,3-Diethylbenzene",134,musculoskeletal,47,Structural Analog,100-41-4 (ethylbenzene),NOAEC,subchronic,rat,0,1,14117,3,10,10,1,300,434,mg/m3,79058,"see 100-41-4 (ethylbenzene), , similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
1,141-93-5,"1,3-Diethylbenzene",134,neurological,2000,Structural Analog,100-41-4 (ethylbenzene),MRL,subchronic,human,,,,,,,,,2,ppm,2000,"see 100-41-4 (ethylbenzene), , similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
1,141-93-5,"1,3-Diethylbenzene",134,renal,60,Structural Analog,100-41-4 (ethylbenzene),MRL,chronic,human,,,,,,,,,0,ppm,60,"see 100-41-4 (ethylbenzene), , similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
1,141-93-5,"1,3-Diethylbenzene",134,reproductive,47,Structural Analog,100-41-4 (ethylbenzene),NOAEC,.,rat,0,1,14124,3,10,10,1,300,434,mg/m3,79096,"see 100-41-4 (ethylbenzene), , similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
1,141-93-5,"1,3-Diethylbenzene",134,systemic,2083,Structural Analog,100-41-4 (ethylbenzene),NOAEC,chronic,ratmouse,0,1,62500,3,10,1,1,30,,.,250000,"see 100-41-4 (ethylbenzene), , similarity score=1, neighbors by: AIM, filter by: ToxCast data",,,,,,,
,156-59-2,"(Z)-1,2-Dichloroethylene",97,immunological,101,PPRTV (CPHEA),PPRTV Summary,RfCp,subchronic,rat,,,,,10,,,,0,mg/m3,101,Decreased lymphocyte counts,repeat dose other,https://www.epa.gov/pprtv/basic-information-about-provisional-peer-reviewed-toxicity-values-pprtvs,https://cfpub.epa.gov/ncea/pprtv/chemicalLanding.cfm?pprtv_sub_id=1684,,"analog approach used,  156-60-5 selected as analog",.,
,156-60-5,"(E)-1,2-Dichloroethylene",97,developmental,3571,ECHA IUCLID,Developmental Toxicity Teratogenicity,NOAEC,.,rat,0,1,1071432,3,10,10,1,300,23789,mg/m3,6000036,developmental,developmental,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/16486/7/9/3?documentUUID=412acab3-b1b1-4929-a2c6-1ca40d5a6c50,1,https://chem.echa.europa.eu/100.005.329/dossier-view/224fd64e-659e-4762-9da8-5c3b43626eae/IUC5-c3ba04ba-3eb5-4107-a3e9-b140542e7eaf_f9e6d864-c6cc-4253-bdc2-13c09250e96b?searchText=156-60-5,.,
,156-60-5,"(E)-1,2-Dichloroethylene",97,hepatic,153,ATSDR MRLs,.,BMCL,subchronic,rat,0,1,45798,3,10,10,1,300,1017,mg/m3,256470,hepatic,developmental,https://www.atsdr.cdc.gov/ToxProfiles/tp87.pdf,.,,.,.,
,156-60-5,"(E)-1,2-Dichloroethylene",97,immunological,101,PPRTV (CPHEA),PPRTV Summary,RfCp,subchronic,rat,,,,,10,,,,0,mg/m3,101,Decreased lymphocyte counts,subchronic,https://www.epa.gov/pprtv/basic-information-about-provisional-peer-reviewed-toxicity-values-pprtvs,https://cfpub.epa.gov/ncea/pprtv/chemicalLanding.cfm?pprtv_sub_id=1685,,.,.,
,1634-04-4,methyl tert-butyl ether,88,developmental,149,CompTox,ECHA IUCLID,NOAEC,.,rodent,0,1,44643,3,10,10,1,300,,.,250000,.,.,.,.,,.,.,
,1634-04-4,methyl tert-butyl ether,88,endocrine,238,ATSDR Tox Profile,Bird et al. 1997,NOAEC,subchronic,rodent,0,1,71428,3,10,10,1,300,,.,400000,.,.,.,.,,.,.,
,1634-04-4,methyl tert-butyl ether,88,hepatic,832,IRIS,Chun et al. 1992,RfC,chronic,rodent,,,,,10,,,,3,mg/m3,832,.,.,.,.,,.,.,
,1634-04-4,methyl tert-butyl ether,88,musculoskeletal,238,ATSDR Tox Profile,Bird et al. 1997,LOAEC,chronic,rodent,0,1,71428,3,10,1,10,300,,.,400000,.,.,.,.,,.,.,
,1634-04-4,methyl tert-butyl ether,88,neurological,1000,ATSDR,ATSDR MRLs 2025,MRL,subchronic,human,,,,,,,,,1,ppm,1000,,,,,,Final,,
,1634-04-4,methyl tert-butyl ether,88,ocular,832,IRIS,Chun et al. 1992,RfC,chronic,rodent,,,,,10,,,,832,ppb,832,.,.,.,.,,.,.,
,1634-04-4,methyl tert-butyl ether,88,renal,1000,ATSDR,ATSDR MRLs 2025,MRL,chronic,human,,,,,,,,,1,ppm,1000,,,,,,Final,,
,1634-04-4,methyl tert-butyl ether,88,respiratory,238,CompTox,ECHA IUCLID,NOAEC,.,rodent,0,1,71428,3,10,10,1,300,,.,400000,.,.,.,.,,.,.,
,1634-04-4,methyl tert-butyl ether,88,systemic,595,ATSDR Tox Profile,Greenough et al. 1980,NOAEC,subchronic,rodent,0,1,178571,3,10,10,1,300,,.,1000000,.,.,.,.,,.,.,
,50-00-0,Formaldehyde,30,dermal,4,ATSDR Tox Profile,Holness and Nethercott 1989,LOAEC,chronic,human,,,,1,10,1,10,100,,.,360,.,.,.,.,,.,.,
,50-00-0,Formaldehyde,30,developmental,8,IRIS,Taskinen et al. 1999,RfCc,chronic,rodent,,,,,10,,,,8,ppb,8,developmental,developmental,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/23039/7/9/3?documentUUID=7d2fc287-88f7-49b3-87a2-258c60a3d6ca,1,.,.,
,50-00-0,Formaldehyde,30,hematological,9,ATSDR Tox Profile,Dean et al. 1984,NOAEC,subchronic,ratmouse,0,1,2679,3,10,10,1,300,,.,15000,.,.,.,.,,.,.,
,50-00-0,Formaldehyde,30,hepatic,6,ATSDR Tox Profile,Wouterson et al. 1987,NOAEC,subchronic,ratmouse,0,1,1786,3,10,10,1,300,,.,10000,.,.,.,.,,.,.,
,50-00-0,Formaldehyde,30,immunological,0,ECHA IUCLID,Immunotoxicity,LOAEC,subchronic,mouse,0,1,36,3,10,10,10,3000,0,mg/m3,200,immune system,subchronic,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/23039/7/10/2?documentUUID=7d2fc287-88f7-49b3-87a2-258c60a3d6ca,,.,.,
,50-00-0,Formaldehyde,30,neurological,4,ECHA IUCLID,Neurotoxicity,NOAEC,.,rat,0,1,1071,3,10,10,1,300,7,mg/m3,6000,neurons,repeat dose other,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/23039/7/10/1?documentUUID=7d2fc287-88f7-49b3-87a2-258c60a3d6ca,,.,.,
,50-00-0,Formaldehyde,30,ocular,4,ATSDR Tox Profile,Holness and Nethercott 1989,LOAEC,chronic,human,,,,1,10,1,10,100,,.,360,.,.,.,.,,.,.,
,50-00-0,Formaldehyde,30,renal,1,ATSDR Tox Profile,Appelman et al. 1988,NOAEC,subchronic,ratmouse,0,1,179,3,10,10,1,300,,.,1000,.,.,.,.,,.,.,
,50-00-0,Formaldehyde,30,reproductive,5,IRIS,Ozen et al. 2002,RfCc,chronic,human,,,,,,,,,5,ppb,5,maternal: body weight and weight gain|maternal: food consumption and compound intake,reproduction developmental,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/23039/7/9/3?documentUUID=7d2fc287-88f7-49b3-87a2-258c60a3d6ca,,.,.,
,50-00-0,Formaldehyde,30,respiratory,6,IRIS,"Kryzanowski et al. 1983, Venn et al. 2003, Annesi-Maesano et al. 2012, Hanrahan et al. 1984",RfC,chronic,human,,,,,,,,,,.,6,.,.,.,.,,.,.,
,50-00-0,Formaldehyde,30,systemic,6,ATSDR Tox Profile,Wouterson et al. 1989,NOAEC,chronic,ratmouse,0,1,179,3,10,1,1,30,,.,1000,.,.,.,.,,.,.,
,526-73-8,"1,2,3-Trimethylbenzene",120,hematological,12,IRIS,.,RfC,chronic,human,,,,,,,,,,.,12,.,.,.,.,,.,.,
,526-73-8,"1,2,3-Trimethylbenzene",120,neurological,12,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,0,mg/m3,12,reduced pain sensitivity in male wistar rats,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1039,,.,.,
,526-73-8,"1,2,3-Trimethylbenzene",120,respiratory,41,IRIS,.,RfC,chronic,human,,,,,,,,,,.,41,.,.,.,.,,.,.,
,540-84-1,"2,2,4-trimethylpentane",114,reproductive,404,CompTox,ECHA IUCLID,LOAEC,.,rodent,0,1,1210862,3,10,10,10,3000,,.,6780846,.,.,.,.,,.,.,
1,541-73-1,"1,3-Dichlorobenzene",147,systemic,33,Alaska DEC,Alaska DEC,RfC,.,human,,,,,,,,,0,mg/m3,33,"whole body, decreased weight gain",Toxicity Value,https://dec.alaska.gov/spar/csp/,.,1,"Structural analog, uses tox data from 1,2-dichlorobenzene as surrogate, tox value for 1,2-dichlorobenzene is from EPAs Health Effects Assessment Summary Tables",.,
,542-75-6,"1,3-Dichloropropene",111,respiratory,4,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,0,mg/m3,4,Hypertrophy/ hyperplasia of the nasal respiratory epithelium in male/female mice,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=224,,DAF = 0.198 https://iris.epa.gov/static/pdfs/0224tr.pdf,.,
 ,56-23-5,Carbon tetrachloride,154,developmental,6,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,0,mg/m3,6,"Alimentary system (liver), development, nervous system",,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/carbon-tetrachloride,,,,
 ,56-23-5,Carbon tetrachloride,154,hepatic,16,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,0,mg/m3,16,Fatty changes in male/female rats,,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=20,,,,
 ,56-23-5,Carbon tetrachloride,154,neurological,6,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,0,mg/m3,6,"Alimentary system (liver), development, nervous system",,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/carbon-tetrachloride,,,,
 ,56-23-5,Carbon tetrachloride,154,systemic,46,ECHA,.,DNEL,chronic,human,,,,,,,,,0,mg/m3,46,systemic,,https://chem.echa.europa.eu/100.000.239/dossier-view/22e8bf30-90e0-44a3-bb5b-f753a82cdf34/101e3747-22bd-4e2f-ba1a-ea9d1f17d395_1f0d9c24-63d5-4e2d-b692-eeb4f6705c43?searchText=56-23-5,-, ,,,
1,590-18-1,cis-2-Butene,56,systemic,5953,DOD MEG,TLV,TLV (adjusted),chronic,human,,,,,,,,,6,ppm,5953,bodyweight effects,Media Exposure Guidelines,https://ph.health.mil/topics/envirohealth/hrasm/Pages/TG230.aspx,.,1,"original entry was a DOD MEG for long-term negligible air from, 140 mg/m3,  https://ph.health.mil/PHC%20Resource%20Library/TG230-DeploymentEHRA-and-MEGs-2013-Revision.pdf , it is an adjusted TLV, TLV is for butenes-all isomers. Reverted back to original ACGIH TLV = 250ppm, applied adjustment for continuous exposure (0.2381= (8/24)*(5/7)), and UF=10 for intraspecies, occupational to general population",U.S. Army Public Health Command (2013) TG 230 Military Exposure Guidelines Table. Army Public Health Center.,
,591-78-6,2-Hexanone,100,developmental,83,ATSDR Tox Profile,Peters et al. 1981,LOAEC,subchronic,ratmouse,0,1,250000,3,10,10,10,3000,,.,1000000,.,.,.,.,,.,.,
,591-78-6,2-Hexanone,100,hematological,1964,ATSDR Tox Profile,Krasavage and O'Donohuge 1977,NOAEC,chronic,ratmouse,0,1,58928,3,10,1,1,30,,.,330000,.,.,.,.,,.,.,
,591-78-6,2-Hexanone,100,musculoskeletal,1964,ATSDR Tox Profile,Krasavage and O'Donohuge 1977,NOAEC,chronic,ratmouse,0,1,58928,3,10,1,1,30,,.,330000,.,.,.,.,,.,.,
,591-78-6,2-Hexanone,100,neurological,7,IRIS,IRIS Summary,RfC,chronic,human,,,,,,,,,0,mg/m3,7,Motor conduction velocity of the sciatic-tibial nerve in male monkeys,Toxicity Value,https://www.epa.gov/iris,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=1019,,DAF = 1 https://iris.epa.gov/static/pdfs/1019tr.pdf,.,
,591-78-6,2-Hexanone,100,reproductive,1964,ATSDR Tox Profile,Krasavage and O'Donohuge 1977,NOAEC,chronic,ratmouse,0,1,58928,3,10,1,1,30,,.,330000,.,.,.,.,,.,.,
,591-78-6,2-Hexanone,100,systemic,60,ATSDR Tox Profile,Johnson et al. 1977,NOAEC,subchronic,ratmouse,0,1,17857,3,10,10,1,300,,.,100000,.,.,.,.,,.,.,
1,624-64-6,(2E)-2-Butene,56,systemic,5953,DOD MEG,TLV,TLV (adjusted),chronic,human,,,,,,,,,6,ppm,5953,body weight effects,Media Exposure Guidelines,https://ph.health.mil/topics/envirohealth/hrasm/Pages/TG230.aspx,.,1,"original entry was a DOD MEG for long-term negligible air from, 140 mg/m3,  https://ph.health.mil/PHC%20Resource%20Library/TG230-DeploymentEHRA-and-MEGs-2013-Revision.pdf , it is an adjusted TLV, TLV is for butenes-all isomers. Reverted back to original ACGIH TLV = 250ppm, applied adjustment for continuous exposure (0.2381= (8/24)*(5/7)), and UF=10 for intraspecies, occupational to general population",U.S. Army Public Health Command (2013) TG 230 Military Exposure Guidelines Table. Army Public Health Center.,
,64-17-5,Ethanol,46,developmental,9524,EPA HPVIS,HPVIS Mammalian Devtox,NOAEC,subchronic,rat,0,1,2857155,3,10,10,1,300,30148,mg/m3,16000105,reproduction developmental,reproduction developmental,.,.,1,.,.,
,67-66-3,Chloroform,119,developmental,61,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,0,mg/m3,61,Alimentary system; kidney; development,,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/chloroform,,,,
,67-66-3,Chloroform,119,gastrointestinal,220,ATSDR Tox Profile,Challen et al. 1958,LOAEC,chronic,human,,,,1,10,1,10,100,,.,22000,.,.,.,.,,.,.,
,67-66-3,Chloroform,119,hepatic,61,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,0,mg/m3,61,Alimentary system; kidney; development,,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/chloroform,,,,
,67-66-3,Chloroform,119,immunological,20,ATSDR Tox Profile,Bomski et al. 1967,LOAEC,chronic,human,,,,1,10,1,10,100,,.,2000,.,.,.,.,,.,.,
