"","casrn","name","average_mass","endpoint","new_rfc","rfcs_ugm","ATS_name"
"62","56-23-5","Carbon tetrachloride",154,"neurological",6.358,40.0462985685072,"CARBON TETRACHLORIDE"
"63","56-23-5","Carbon tetrachloride",154,"systemic",46.258,291.35918200409,"CARBON TETRACHLORIDE"
"64","71-43-2","Benzene",78,"developmental",5.952,18.9879754601227,"BENZENE"
"65","71-43-2","Benzene",78,"hematological",0.939,2.99558282208589,"BENZENE"
"66","71-43-2","Benzene",78,"immunological",2,6.38036809815951,"BENZENE"
"67","71-43-2","Benzene",78,"ocular",330,1052.76073619632,"BENZENE"
"68","71-43-2","Benzene",78,"renal",3300,10527.6073619632,"BENZENE"
"69","71-43-2","Benzene",78,"reproductive",17.857,56.9671165644172,"BENZENE"
"70","71-43-2","Benzene",78,"respiratory",330,1052.76073619632,"BENZENE"
"71","75-09-2","Dichloromethane (methylene chloride)",85,"cardiovascular",115.154,400.330879345603,"METHYLENE CHLORIDE"
"72","75-09-2","Dichloromethane (methylene chloride)",85,"developmental",492.238,1711.25685071575,"METHYLENE CHLORIDE"
"73","75-09-2","Dichloromethane (methylene chloride)",85,"hematological",1217.259,4231.77975460123,"METHYLENE CHLORIDE"
"74","75-09-2","Dichloromethane (methylene chloride)",85,"hepatic",172.73,600.492842535787,"METHYLENE CHLORIDE"
"75","75-09-2","Dichloromethane (methylene chloride)",85,"neurological",115.154,400.330879345603,"METHYLENE CHLORIDE"
"76","75-09-2","Dichloromethane (methylene chloride)",85,"renal",34.083,118.488957055215,"METHYLENE CHLORIDE"
"77","75-09-2","Dichloromethane (methylene chloride)",85,"respiratory",3408.333,11849.0104294479,"METHYLENE CHLORIDE"
"78","75-09-2","Dichloromethane (methylene chloride)",85,"systemic",4869.036,16927.1190184049,"METHYLENE CHLORIDE"
"79","75-34-3","1,1-Dichloroethane",99,"renal",123.535,500.203067484663,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)"
"80","79-01-6","Trichloroethylene",131,"developmental",0.372,1.99312883435583,"TRICHLOROETHYLENE"
"81","79-01-6","Trichloroethylene",131,"endocrine",3571.42,19135.2155419223,"TRICHLOROETHYLENE"
"82","79-01-6","Trichloroethylene",131,"hepatic",169.326,907.227239263804,"TRICHLOROETHYLENE"
"83","79-01-6","Trichloroethylene",131,"immunological",0.4,2.14314928425358,"TRICHLOROETHYLENE"
"84","79-01-6","Trichloroethylene",131,"neurological",1.321,7.07775051124744,"TRICHLOROETHYLENE"
"85","79-01-6","Trichloroethylene",131,"ocular",111.661,598.265480572597,"TRICHLOROETHYLENE"
"86","79-01-6","Trichloroethylene",131,"renal",116.667,625.086993865031,"TRICHLOROETHYLENE"
"87","79-01-6","Trichloroethylene",131,"reproductive",1.73,9.26912065439673,"TRICHLOROETHYLENE"
"88","79-01-6","Trichloroethylene",131,"respiratory",116.667,625.086993865031,"TRICHLOROETHYLENE"
"89","79-01-6","Trichloroethylene",131,"systemic",250,1339.46830265849,"TRICHLOROETHYLENE"
"90","91-20-3","Naphthalene",128,"respiratory",0.572,2.99451942740286,"NAPHTHALENE"
"91","91-20-3","Naphthalene",128,"systemic",572.269,2995.92768916155,"NAPHTHALENE"
